,title,author,rating,num_rating,num_review,page,year_published,publisher,summary,topic
10,under the banner of heaven: a story of violent faith,Jon Krakauer,3.99,163995,10687,400.0,2004,by Pan MacMillan,"A Story of Violent FaithA multilayered, bone-chilling narrative of messianic delusion, savage violence, polygamy, and unyielding faith. This is vintage Krakauer, an utterly compelling work of nonfiction that illuminates an otherwise confounding realm of human behavior.Jon Krakauer’s literary reputation rests on insightful chronicles of lives conducted at the outer limits. In Under The Banner of Heaven: A Story of Violent Faith, he shifts his focus from extremes of physical adventure to extremes of religious belief within our own borders. At the core of his book is an appalling double murder committed by two Mormon Fundamentalist brothers, Ron and Dan Lafferty, who insist they received a revelation from God commanding them to kill their blameless victims. Beginning with a meticulously researched account of this ""divinely inspired"" crime, Krakauer constructs a multilayered, bone-chilling narrative of messianic delusion, savage violence, polygamy, and unyielding faith. Along the way, he uncovers a shadowy offshoot of America’s fastest-growing religion, and raises provocative questions about the nature of religious belief.Krakauer takes readers inside isolated communities in the American West, Canada, and Mexico, where some forty-thousand Mormon Fundamentalists believe the mainstream Mormon Church went unforgivably astray when it renounced polygamy. Defying both civil authorities and the Mormon establishment in Salt Lake City, the leaders of these outlaw sects are zealots who answer only to God. Marrying prodigiously and with virtual impunity (the leader of the largest fundamentalist church took seventy-five ""plural wives,"" several of whom were wed to him when they were fourteen or fifteen and he was in his eighties), fundamentalist prophets exercise absolute control over the lives of their followers, and preach that any day now the world will be swept clean in a hurricane of fire, sparing only their most obedient adherents.Weaving the story of the Lafferty brothers and their fanatical brethren with a clear-eyed look at Mormonism’s violent past, Krakauer examines the underbelly of the most successful homegrown faith in the United States, and finds a distinctly American brand of religious extremism. The result is vintage Krakauer, an utterly compelling work of nonfiction that illuminates an otherwise confounding realm of human behavior.",religion
11,marie antoinette: the journey,Antonia Fraser,3.9,34578,1223,512.0,September 12th 2006,by Anchor Books,"'Drama, betrayal, religion and sex, it's all here ... Fascinating' GUARDIAN'Beautifully paced, impeccably written ... Don't miss it' INDEPENDENT'Fraser is at her best here, lucid, authoritative and compassionate' SUNDAY TIMES'Superbly researched ... the definitive work on the ill-fated queen' CATHOLIC HERALDMarie Antoinette's dramatic life-story continues to arouse mixed emotions. To many people, she is still 'la reine méchante', whose extravagance and frivolity helped to bring down the French monarchy; her indifference to popular suffering epitomised by the (apocryphal) words: 'let them eat cake'. Others are equally passionate in her defence: to them, she is a victim of misogyny.Antonia Fraser examines her influence over the king, Louis XVI, the accusations and sexual slurs made against her, her patronage of the arts which enhanced French cultural life, her imprisonment, the death threats made against her, rumours of lesbian affairs, her trial (during which her young son was forced to testify to sexual abuse by his mother) and her eventual execution by guillotine in 1793.",british monarch
12,a short history of nearly everything,Bill Bryson,4.19,316587,12830,544.0,September 14th 2004,by Broadway Books,"In Bryson's biggest book, he confronts his greatest challenge: to understand—and, if possible, answer—the oldest, biggest questions we have posed about the universe and ourselves. Taking as territory everything from the Big Bang to the rise of civilization, Bryson seeks to understand how we got from there being nothing at all to there being us. To that end, he has attached himself to a host of the world’s most advanced (and often obsessed) archaeologists, anthropologists, and mathematicians, travelling to their offices, laboratories, and field camps. He has read (or tried to read) their books, pestered them with questions, apprenticed himself to their powerful minds. A Short History of Nearly Everything is the record of this quest, and it is a sometimes profound, sometimes funny, and always supremely clear and entertaining adventure in the realms of human knowledge, as only Bill Bryson can render it. Science has never been more involving or entertaining.",science
13,in cold blood,Truman Capote,4.06,554187,17409,343.0,1994,by Vintage,"On November 15, 1959, in the small town of Holcomb, Kansas, four members of the Clutter family were savagely murdered by blasts from a shotgun held a few inches from their faces. There was no apparent motive for the crime, and there were almost no clues. As Truman Capote reconstructs the murder and the investigation that led to the capture, trial, and execution of the killers, he generates both mesmerizing suspense and astonishing empathy. At the center of his study are the amoral young killers Perry Smith and Dick Hickcock, who, vividly drawn by Capote, are shown to be reprehensible yet entirely and frighteningly human. In Cold Blood is a seminal work of modern prose, a remarkable synthesis of journalistic skill and powerfully evocative narrative.",family
14,the glass castle,Jeannette Walls,4.28,945181,52250,288.0,January 17th 2006,by Scribner,"A tender, moving tale of unconditional love in a family that, despite its profound flaws, gave the author the fiery determination to carve out a successful life on her own terms.Jeannette Walls grew up with parents whose ideals and stubborn nonconformity were both their curse and their salvation. Rex and Rose Mary Walls had four children. In the beginning, they lived like nomads, moving among Southwest desert towns, camping in the mountains. Rex was a charismatic, brilliant man who, when sober, captured his children's imagination, teaching them physics, geology, and above all, how to embrace life fearlessly. Rose Mary, who painted and wrote and couldn't stand the responsibility of providing for her family, called herself an ""excitement addict."" Cooking a meal that would be consumed in fifteen minutes had no appeal when she could make a painting that might last forever. Later, when the money ran out, or the romance of the wandering life faded, the Walls retreated to the dismal West Virginia mining town -- and the family -- Rex Walls had done everything he could to escape. He drank. He stole the grocery money and disappeared for days. As the dysfunction of the family escalated, Jeannette and her brother and sisters had to fend for themselves, supporting one another as they weathered their parents' betrayals and, finally, found the resources and will to leave home. What is so astonishing about Jeannette Walls is not just that she had the guts and tenacity and intelligence to get out, but that she describes her parents with such deep affection and generosity. Hers is a story of triumph against all odds, but also a tender, moving tale of unconditional love in a family that despite its profound flaws gave her the fiery determination to carve out a successful life on her own terms. For two decades, Jeannette Walls hid her roots. Now she tells her own story.",family
15,the agricola and the germania,Tacitus,3.99,4823,180,174.0,February 28th 1971,by Penguin Group,"The Agricola is both a portrait of Julius Agricola - the most famous governor of Roman Britain and Tacitus' well-loved and respected father-in-law - and the first detailed account of Britain that has come down to us. It offers fascinating descriptions of the geography, climate and peoples of the country, and a succinct account of the early stages of the Roman occupation, nearly fatally undermined by Boudicca's revolt in AD 61 but consolidated by campaigns that took Agricola as far as Anglesey and northern Scotland. The warlike German tribes are the focus of Tacitus' attention in the Germania, which, like the Agricola, often compares the behaviour of 'barbarian' peoples favourably with the decadence and corruption of Imperial Rome.",british monarch
16,none of us were like this before: american soldiers and torture,Joshua E.S. Phillips,4.09,259,31,256.0,June 14th 2010,by Verso,"Sergeant Adam Gray made it home from Iraq only to die in his barracks. For more than three years, reporter Joshua E. S. Phillips—with the support of Adam’s mother and several of his Army buddies—investigated Adam’s death. What Phillips uncovered was a story of American veterans psychologically scarred by the abuse they had meted out to Iraqi prisoners. How did US forces turn to torture? Phillips’s narrative recounts the journey of a tank battalion—trained for conventional combat—as its focus switches to guerrilla war and prisoner detention. It tells of how a group of ordinary soldiers, ill trained for the responsibilities foisted upon them, descended into the degradation of abuse. The location is far from CIA prisons and Guantanamo, but the story captures the widespread use and nature of torture in the US armed forces. Based on firsthand reporting from the Middle East, as well as interviews with soldiers, their families and friends, military officials, and the victims of torture, None of Us Were Like This Before reveals how soldiers, senior officials, and the US public came to believe that torture was both effective and necessary. The book illustrates that the damaging legacy of torture is not only borne by the detainees, but also by American soldiers and the country to which they’ve returned.",world war II
17,"poetry, language, thought",Martin Heidegger,4.14,3442,99,256.0,December 3rd 2013,by Harper Perennial Modern Classics,"Poetry, Language, Thought collects Martin Heidegger's pivotal writings on art, its role in human life and culture, and its relationship to thinking and truth. Essential reading for students and anyone interested in the great philosophers, this book opens up appreciation of Heidegger beyond the study of philosophy to the reaches of poetry and our fundamental relationship to the world. Featuring ""The Origin of the Work of Art,"" a milestone in Heidegger's canon, this enduring volume provides potent, accessible entry to one of the most brilliant thinkers of modern times.",art
18,the omnivore's dilemma: a natural history of four meals,Michael Pollan,4.16,189626,13021,450.0,2006,by The Penguin Press,"What should we have for dinner? For omnivore's like ourselves, this simple question has always posed a dilemma: When you can eat just about anything nature (or the supermarket) has to offer, deciding what you should eat will inevitably stir anxiety, especially when some of the foods on offer might shorten your life. Today, buffeted by one food fad after another, America is suffering from what can only be described as a national eating disorder. The omnivore's dilemma has returned with a vengeance, as the cornucopia of the modern American supermarket and fast-food outlet confronts us with a bewildering and treacherous food landscape. What's at stake in our eating choices is not only our own and our children's health, but the health of the environment that sustains life on earth.The Omnivore's Dilemma is a groundbreaking book in which one of America's most fascinating, original, and elegant writers turns his own omnivorous mind to the seemingly straightforward question of what we should have for dinner. The question has confronted us since man discovered fire, but, according to Michael Pollan, the bestselling author of The Botany of Desire, how we answer it today, ath the dawn of the twenty-first century, may well determine our very survival as a species. Should we eat a fast-food hamburger? Something organic? Or perhaps something we hunt, gather or grow ourselves?To find out, Pollan follows each of the food chains that sustain us—industrial food, organic or alternative food, and food we forage ourselves—from the source to a final meal, and in the process develops a definitive account of the American way of eating. His absorbing narrative takes us from Iowa cornfields to food laboratories, from feedlots and fast-food restaurants to organic farms and hunting grounds, always emphasizing our dynamic coevolutionary relationship with the handful of plant and animal species we depend on. Each time Pollan sits down to a meal, he deploys his unique blend of personal and investigative journalism to trace the origins of everything consumed, revealing what we unwittingly ingest and explaining how our taste for particular foods and flavors reflects our evolutionary inheritance.The surprising answers Pollan offers to the simple question posed by this book have profound political, economic, psychological, and even mortal implications for all of us. Ultimately, this is a book as much about visionary solutions as it is about problems, and Pollan contends that, when it comes to food, doing the right thing often turns out to be the tastiest thing an eater can do. Beautifully written and thrillingly argued, The Omnivore's Dilemma promises to change the way we think about the politics and pleasure of eating. For anyone who reads it, dinner will never again look, or taste, quite the same.",health
19,angela's ashes,Frank McCourt,4.12,556414,12186,452.0,October 3rd 2005,by Harper Perennial,"Imbued on every page with Frank McCourt's astounding humor and compassion. This is a glorious book that bears all the marks of a classic.""When I look back on my childhood I wonder how I managed to survive at all. It was, of course, a miserable childhood: the happy childhood is hardly worth your while. Worse than the ordinary miserable childhood is the miserable Irish childhood, and worse yet is the miserable Irish Catholic childhood."" So begins the Pulitzer Prize winning memoir of Frank McCourt, born in Depression-era Brooklyn to recent Irish immigrants and raised in the slums of Limerick, Ireland. Frank's mother, Angela, has no money to feed the children since Frank's father, Malachy, rarely works, and when he does he drinks his wages. Yet Malachy-- exasperating, irresponsible and beguiling-- does nurture in Frank an appetite for the one thing he can provide: a story. Frank lives for his father's tales of Cuchulain, who saved Ireland, and of the Angel on the Seventh Step, who brings his mother babies. Perhaps it is story that accounts for Frank's survival. Wearing rags for diapers, begging a pig's head for Christmas dinner and gathering coal from the roadside to light a fire, Frank endures poverty, near-starvation and the casual cruelty of relatives and neighbors--yet lives to tell his tale with eloquence, exuberance and remarkable forgiveness. Angela's Ashes, imbued on every page with Frank McCourt's astounding humor and compassion, is a glorious book that bears all the marks of a classic.",family
20,the devil in the white city,Erik Larson,3.98,552539,33647,,February 11th 2003,by Random House Audio Publishing Group,"Murder, Magic, and Madness at the Fair That Changed AmericaErik Larson's gifts as a storyteller are magnificently displayed in this rich narrative of the master builder, the killer, and the great fair that obsessed them both.Two men, each handsome and unusually adept at his chosen work, embodied an element of the great dynamic that characterized America's rush toward the twentieth century. The architect was Daniel Hudson Burnham, the fair's brilliant director of works and the builder of many of the country's most important structures, including the Flatiron Building in New York and Union Station in Washington, D.C. The murderer was Henry H. Holmes, a young doctor who, in a malign parody of the White City, built his ""World's Fair Hotel"" just west of the fairgrounds—a torture palace complete with dissection table, gas chamber, and 3,000-degree crematorium. Burnham overcame tremendous obstacles and tragedies as he organized the talents of Frederick Law Olmsted, Charles McKim, Louis Sullivan, and others to transform swampy Jackson Park into the White City, while Holmes used the attraction of the great fair and his own satanic charms to lure scores of young women to their deaths. What makes the story all the more chilling is that Holmes really lived, walking the grounds of that dream city by the lake.The Devil in the White City draws the reader into a time of magic and majesty, made all the more appealing by a supporting cast of real-life characters, including Buffalo Bill, Theodore Dreiser, Susan B. Anthony, Thomas Edison, Archduke Francis Ferdinand, and others. In this book the smoke, romance, and mystery of the Gilded Age come alive as never before.",biography
21,mary edwards walker: america's only female medal of honor recipient,Ammar Habib,4.29,6531,1232,311.0,May 1st 2020,by A. H. Press,"Available in paperback, Kindle, and Kindle Unlimited! In the history of America, only one woman has ever received the Medal of Honor: Dr. Mary Edwards Walker. However, Mary’s life was more than just a medal. Not only was Mary a leading suffragist, the first female surgeon to serve in the United States Army, and an advocate of women’s dress reform, she was a woman who put the lives of others before hers. She sacrificed her personal happiness, her comforts, and her reputation in order to fight for the ideals she believed in, both during and after her service in the American Civil War. Mary was a nonconformist in every way, refusing to bow down to society’s establishments. When society towered above her, demanding her to surrender, Mary planted herself like a tree and stood her ground. Mary’s life is a testament to the idea of selflessness. Today, many Americans stand on her shoulders.This book is more than a simple biography of Mary's life. Instead, this book seeks to understand the woman behind the medal. It seeks to discover the core of Mary's being and the inspirations that turned her into who she was. People may know Dr. Walker. The question is: 
who was Mary?
",british monarch
22,"guns, germs, and steel: the fates of human societies",Jared Diamond,4.03,321482,11454,498.0,2005,by W.W. Norton & Company,"""Diamond has written a book of remarkable scope ... one of the most important and readable works on the human past published in recent years.""Winner of the Pulitzer Prize and a national bestseller: the global account of the rise of civilization that is also a stunning refutation of ideas of human development based on race.In this ""artful, informative, and delightful"" (William H. McNeill, New York Review of Books) book, Jared Diamond convincingly argues that geographical and environmental factors shaped the modern world. Societies that had a head start in food production advanced beyond the hunter-gatherer stage, and then developed writing, technology, government, and organized religion—as well as nasty germs and potent weapons of war—and adventured on sea and land to conquer and decimate preliterate cultures. A major advance in our understanding of human societies, Guns, Germs, and Steel chronicles the way that the modern world came to be and stunningly dismantles racially based theories of human history.Winner of the Pulitzer Prize, the Phi Beta Kappa Award in Science, the Rhone-Poulenc Prize, and the Commonwealth Club of California's Gold Medal",science
23,the decline of the west,Oswald Spengler,4.07,1554,116,492.0,February 14th 1991,"by Oxford University Press, USA","Since its first publication in two volumes between 1918-1923, The Decline of the West has ranked as one of the most widely read and most talked about books of our time. In all its various editions, it has sold nearly 100,000 copies. A twentieth-century Cassandra, Oswald Spengler thoroughly probed the origin and ""fate"" of our civilization, and the result can be (and has been) read as a prophesy of the Nazi regime. His challenging views have led to harsh criticism over the years, but the knowledge and eloquence that went into his sweeping study of Western culture have kept The Decline of the West alive. As the face of Germany and Europe as a whole continues to change each day, The Decline of the West cannot be ignored. The abridgment, prepared by the German scholar Helmut Werner, with the blessing of the Spengler estate, consists of selections from the original (translated into English by Charles Francis Atkinson) linked by explanatory passages which have been put into English by Arthur Helps. H. Stuart Hughes has written a new introduction for this edition. In this engrossing and highly controversial philosophy of history, Spengler describes how we have entered into a centuries-long ""world-historical"" phase comparable to late antiquity. Guided by the philosophies of Goethe and Nietzsche, he rejects linear progression, and instead presents a world view based on the cyclical rise and decline of civilizations. He argues that a culture blossoms from the soil of a definable landscape and dies when it has exhausted all of its possibilities. Despite Spengler's reputation today as an extreme pessimist, The Decline of the West remains essential reading for anyone interested in the history of civilization.",art
24,the tipping point: how little things can make a big difference,Malcolm Gladwell,3.98,713553,13985,301.0,January 7th 2002,by Back Bay Books,"An alternate cover edition exists here.The tipping point is that magic moment when an idea, trend, or social behavior crosses a threshold, tips, and spreads like wildfire. Just as a single sick person can start an epidemic of the flu, so too can a small but precisely targeted push cause a fashion trend, the popularity of a new product, or a drop in the crime rate. This widely acclaimed bestseller, in which Malcolm Gladwell explores and brilliantly illuminates the tipping point phenomenon, is already changing the way people throughout the world think about selling products and disseminating ideas.Gladwell introduces us to the particular personality types who are natural pollinators of new ideas and trends, the people who create the phenomenon of word of mouth. He analyzes fashion trends, smoking, children's television, direct mail, and the early days of the American Revolution for clues about making ideas infectious, and visits a religious commune, a successful high-tech company, and one of the world's greatest salesmen to show how to start and sustain social epidemics.",business
25,"eat, pray, love",Elizabeth Gilbert,3.58,1524319,54430,368.0,February 1st 2007,by Riverhead Books,"A celebrated writer's irresistible, candid, and eloquent account of her pursuit of worldly pleasure, spiritual devotion, and what she really wanted out of life. Around the time Elizabeth Gilbert turned thirty, she went through an early-onslaught midlife crisis. She had everything an educated, ambitious American woman was supposed to want—a husband, a house, a successful career. But instead of feeling happy and fulfilled, she was consumed with panic, grief, and confusion. She went through a divorce, a crushing depression, another failed love, and the eradication of everything she ever thought she was supposed to be. To recover from all this, Gilbert took a radical step. In order to give herself the time and space to find out who she really was and what she really wanted, she got rid of her belongings, quit her job, and undertook a yearlong journey around the world—all alone. Eat, Pray, Love is the absorbing chronicle of that year. Her aim was to visit three places where she could examine one aspect of her own nature set against the backdrop of a culture that has traditionally done that one thing very well. In Rome, she studied the art of pleasure, learning to speak Italian and gaining the twenty-three happiest pounds of her life. India was for the art of devotion, and with the help of a native guru and a surprisingly wise cowboy from Texas, she embarked on four uninterrupted months of spiritual exploration. In Bali, she studied the art of balance between worldly enjoyment and divine transcendence. She became the pupil of an elderly medicine man and also fell in love the best way—unexpectedly. An intensely articulate and moving memoir of self-discovery, Eat, Pray, Love is about what can happen when you claim responsibility for your own contentment and stop trying to live in imitation of society’s ideals. It is certain to touch anyone who has ever woken up to the unrelenting need for change.",relationship
26,"eats, shoots & leaves: the zero tolerance approach to punctuation",Lynne Truss,3.86,101512,4905,209.0,April 2006,by The Penguin Group,"In Eats, Shoots & Leaves, former editor Lynne Truss, gravely concerned about our current grammatical state, boldly defends proper punctuation. She proclaims, in her delightfully urbane, witty, and very English way, that it is time to look at our commas and semicolons and see them as the wonderful and necessary things they are. Using examples from literature, history, neighborhood signage, and her own imagination, Truss shows how meaning is shaped by commas and apostrophes, and the hilarious consequences of punctuation gone awry.Featuring a foreword by Frank McCourt, and interspersed with a lively history of punctuation from the invention of the question mark in the time of Charlemagne to George Orwell shunning the semicolon, Eats, Shoots & Leaves makes a powerful case for the preservation of proper punctuation.",art
27,nickel and dimed: on (not) getting by in america,Barbara Ehrenreich,3.63,182153,6529,240.0,May 1st 2002,by Owl Books (Henry Holt),"Reveals low-wage America in all its tenacity, anxiety, and surprising generosity--a land of Big Boxes, fast food, and a thousand desperate stratagems for survival.Millions of Americans work full-time, year-round, for poverty-level wages. In 1998, Barbara Ehrenreich decided to join them. She was inspired in part by the rhetoric surrounding welfare reform, which promised that any job equals a better life. But how can anyone survive, let alone prosper, on $6-$7 an hour? To find out, Ehrenreich moved from Florida to Maine to Minnesota, taking the cheapest lodgings available and accepting work as a waitress, hotel maid, house cleaner, nursing home aide, and Wal-Mart salesperson. She soon discovered that even the ""lowliest"" occupations require exhausting mental and physical efforts. And one job is not enough; you need at least two if you intend to live indoors.Nickel and Dimed reveals low-wage America in all its tenacity, anxiety, and surprising generosity--a land of Big Boxes, fast food, and a thousand desperate stratagems for survival. Instantly acclaimed for its insight, humor, and passion, this book is changing the way America perceives its working poor.",race
28,outliers: the story of success,Malcolm Gladwell,4.17,595514,26808,309.0,November 18th 2008,"by Little, Brown and Company","In this stunning new book, Malcolm Gladwell takes us on an intellectual journey through the world of ""outliers""--the best and the brightest, the most famous and the most successful. He asks the question: what makes high-achievers different?His answer is that we pay too much attention to what successful people are like, and too little attention to where they are from: that is, their culture, their family, their generation, and the idiosyncratic experiences of their upbringing. Along the way he explains the secrets of software billionaires, what it takes to be a great soccer player, why Asians are good at math, and what made the Beatles the greatest rock band.",business
